HIP,Name,Num,Constellation,RA,Dec,Mag,NameJ,Prn
12706,,γ,Cet,40.8255,3.236167,3.47,,
12719,,35,Ari,40.862958,27.707167,4.65,,
12768,,14,Per,41.0215,44.297056,5.43,,
12770,,π,Cet,41.030625,-13.858667,4.24,,
12777,,θ,Per,41.048708,49.228667,4.1,,
12784,,36,Ari,41.079542,17.764028,6.4,,
12803,,ο,Ari,41.137375,15.311889,5.78,,
12828,,μ,Cet,41.234875,10.114222,4.27,,
12832,,38,Ari,41.239625,12.445972,5.17,,
12843,,τ1,Eri,41.274917,-18.572639,4.47,,
12871,,γ,Hor,41.364375,-63.704528,5.73,,
12876,,ζ,Hyi,41.385542,-67.616722,4.83,,
13040,,η1,For,41.89075,-35.550528,6.51,,
13061,,39,Ari,41.976833,29.247417,4.52,,
13108,,40,Ari,42.133583,18.283861,5.83,,
13141,,ν,Hor,42.255708,-62.806583,5.25,,
13147,,β,For,42.272333,-32.406278,4.45,,
13165,,π,Ari,42.323167,17.464333,5.26,,
13197,,γ1,For,42.462458,-24.56,6.14,,
13202,,γ2,For,42.475625,-27.942028,5.39,,
13209,,41,Ari,42.495792,27.260778,3.61,,
13225,,η2,For,42.561458,-35.843694,5.92,,
13244,,ν,Hyi,42.618917,-75.066889,4.76,,
13254,,16,Per,42.645458,38.318917,4.22,,
13265,,η3,For,42.668333,-35.675722,5.48,,
13268,,η,Per,42.674125,55.895528,3.77,,
13288,,τ2,Eri,42.759792,-21.003972,4.76,,
13327,,σ,Ari,42.873208,15.082139,5.52,,
13328,,17,Per,42.878458,35.059889,4.56,,
13473,,ψ,For,43.393125,-38.437083,5.93,,
13490,,20,Per,43.427417,38.337667,5.34,,
13531,,τ,Per,43.564417,52.7625,3.93,,
13654,,45,Ari,43.952083,18.331667,5.76,,
13701,Azha,η,Eri,44.106667,-8.897611,3.89,アザー,
13702,,ρ,Ari,44.10825,18.023639,5.58,,
13775,,21,Per,44.322,31.934306,5.1,,
13782,,4,Eri,44.34875,-23.862083,5.44,,
13834,,47,Ari,44.521167,20.668806,5.8,,
13835,,6,Eri,44.523708,-23.606139,5.82,,
13847,Acamar,θ1,Eri,44.5655,-40.304722,2.88,アカマル,
13879,,π,Per,44.690208,39.662833,4.68,,
13884,,β,Hor,44.699042,-64.071306,4.98,,
13905,,24,Per,44.765458,35.183111,4.94,,
13914,,ε,Ari,44.803042,21.340444,4.63,,
13942,,ζ,For,44.900292,-25.274333,5.69,,
13951,,5,Eri,44.9215,-2.464889,5.56,,
13954,,λ,Cet,44.92875,8.907389,4.71,,
14040,,7,Eri,45.212,-2.878639,6.11,,
14060,,ρ1,Eri,45.291542,-7.662833,5.75,,
14086,,ε,For,45.406042,-28.090472,5.88,,
14109,,49,Ari,45.475625,26.462333,5.91,,
14131,,θ,Hyi,45.564167,-71.9025,5.51,,
14135,Menkar,α,Cet,45.569917,4.089917,2.54,メンカル,
14143,,93,Cet,45.593792,4.352861,5.62,,
14146,,τ3,Eri,45.598292,-23.624333,4.08,,
14168,,ρ2,Eri,45.676083,-7.685472,5.32,,
14240,,μ,Hor,45.90375,-59.737611,5.12,,
14293,,ρ3,Eri,46.068667,-7.600889,5.26,,
14328,,γ,Per,46.199125,53.506444,2.91,,
14354,,ρ,Per,46.29375,38.840528,3.32,,
14376,,52,Ari,46.361208,25.255194,5.45,,
14382,,k,Per,46.385125,56.705556,4.77,,
14514,,53,Ari,46.857042,17.879972,6.13,,
14576,Algol,β,Per,47.042208,40.955639,2.09,アルゴル,
14586,,54,Ari,47.087875,18.795083,6.24,,
14632,,ι,Per,47.262,49.6135,4.05,,
14668,,κ,Per,47.373458,44.857889,3.79,,
14677,,55,Ari,47.403042,29.077111,5.74,,
14817,,ω,Per,47.8225,39.611583,4.61,,
14838,Botein,δ,Ari,47.906958,19.726694,4.35,ボテイン,
14879,,α,For,48.017833,-28.989111,3.8,,
14893,,56,Ari,48.059333,27.257,5.78,,
14954,,94,Cet,48.193,-1.195944,5.07,,
15110,,ζ,Ari,48.725458,21.044639,4.87,,
15197,Zibal,ζ,Eri,48.958458,-8.819833,4.8,,
15201,,ι,Hyi,48.989,-77.388611,5.51,,
15244,,14,Eri,49.149042,-9.15475,6.14,,
15330,,ζ1,Ret,49.435292,-62.576889,5.53,,
15338,,30,Per,49.447208,44.025083,5.49,,
15371,,ζ2,Ret,49.546417,-62.507944,5.24,,
15382,,15,Eri,49.592083,-22.511139,4.86,,
15383,,95,Cet,49.592833,-0.930139,5.62,,
15404,,29,Per,49.657167,50.222222,5.16,,
15444,,31,Per,49.78175,50.095028,5.05,,
15457,,κ1,Cet,49.83975,3.369972,4.84,,
15474,,τ4,Eri,49.879042,-21.757944,3.7,,
15510,,e,Eri,49.97175,-43.071556,4.26,,
15514,,59,Ari,49.982542,27.071306,5.91,,
15557,,60,Ari,50.106542,25.662972,6.14,,
15619,,κ2,Cet,50.278208,3.675694,5.7,,
15627,,τ1,Ari,50.306708,21.147139,5.27,,
15648,,l,Per,50.360875,43.329639,4.96,,
15696,,62,Ari,50.549542,27.607583,5.55,,
15737,,τ2,Ari,50.688625,20.742111,5.1,,
15861,,64,Ari,51.076917,24.724194,5.5,,
15863,Mirphak,α,Per,51.080625,49.86125,1.79,ミルファク,
15870,,65,Ari,51.108792,20.8035,6.07,,
15900,,ο,Tau,51.2035,9.029056,3.61,,
15987,,χ1,For,51.482583,-35.920861,6.39,,
16083,,ξ,Tau,51.792167,9.732778,3.73,,
16112,,χ2,For,51.889042,-35.681333,5.71,,
16156,,χ3,For,52.047917,-35.853417,6.49,,
16181,,66,Ari,52.110708,22.804278,6.03,,
16244,,34,Per,52.341792,49.509028,4.67,,
16245,,κ,Ret,52.342458,-62.938444,4.71,,
16322,,s,Tau,52.602,11.336472,5.14,,
16335,,σ,Per,52.643667,47.995167,4.36,,
16341,,v,Eri,52.654375,-5.075167,4.74,,
16369,,f,Tau,52.718208,12.936694,4.14,,
16499,,36,Per,53.109583,46.057056,5.3,,
16511,,t,Tau,53.149708,9.373556,5.76,,
16537,,ε,Eri,53.235083,-9.458306,3.72,,
16611,,τ5,Eri,53.446875,-21.632806,4.26,,
16664,,7,Tau,53.610917,24.464472,5.95,,
16803,,20,Eri,54.072458,-17.467028,5.24,,
16826,,ψ,Per,54.122333,48.192694,4.32,,
16852,,10,Tau,54.218833,0.402833,4.29,,
16859,,9,Tau,54.241792,23.211111,6.72,,
16870,,y,Eri,54.273667,-40.2745,4.57,,
17007,,τ,For,54.698583,-27.943111,6.01,,
17027,,21,Eri,54.754708,-5.625694,5.97,,
17103,,12,Tau,54.963083,3.056833,5.55,,
17167,,22,Eri,55.159708,-5.210694,5.53,,
17181,,11,Tau,55.192917,25.329528,6.11,,
17304,,δ,For,55.562083,-31.938389,4.99,,
17309,,13,Tau,55.578917,19.700278,5.68,,
17313,,o,Per,55.594333,33.965028,4.97,,
17351,,h,Eri,55.708833,-37.313333,4.59,,
17358,,δ,Per,55.731167,47.787667,3.01,,
17378,,δ,Eri,55.812333,-9.765194,3.52,,
17408,,14,Tau,55.946417,19.665167,6.13,,
17440,,β,Ret,56.048125,-64.807083,3.84,,
17448,Atik,ο,Per,56.079708,32.288278,3.84,アティク,
17457,,24,Eri,56.127125,-1.163083,5.24,,
17489,Celaeno,16,Tau,56.200833,24.289583,5.45,ケラエノ,
17499,Electra,17,Tau,56.218833,24.113444,3.72,エレクトラ,
17506,,25,Eri,56.23525,-0.296722,5.56,,
17527,,18,Tau,56.290542,24.839361,5.66,,
17529,,ν,Per,56.2985,42.578556,3.77,,
17531,Taygeta,q,Tau,56.302,24.467389,4.3,,
